Names,Meanings,Sentences,Tags,Level,Collocations,Synonyms,Pronunciations,Name
humane,人道的な、残酷でない,"Their aim is to run a humane animal sanctuary.
We need to find a more humane way to treat animals.","優劣・是非, 英検",3,"treatment
conditions
society",,,humane
racket,大騒ぎ、騒音、ラケット,There is no need for you to make a racket like that.,"カタカナ・象徴語, 物, 社会・国家, 英検",4,,,,racket
thermal,熱の、温度の、保温性の良い,The human body converts food into thermal energy throught metabolic processes.,"物理・化学, 英検",4,,,,thermal
onlooker,傍観者、野次馬,Many onlookers gathered on the beach to see the beached whale.,"人・職業, 英検",4,,,,onlooker
land,（職などを）手に入れる,She landed a job with a good salary.,"ビジネス・経済, 英検",4,,,,land
"occupy
occupation
occupant","占有する、独占する
占有、独占、居住
占有者、居住者",All of the occupants of the apartment building were asked to leave.,"ビジネス・経済, 人・職業, 英検",3,,,,occupy
"dissolve
dissolution","解体する、解消する
解体、分解、崩壊",The dissolution of the NGO surprised the local community.,"ビジネス・経済, 英検",4,,,,dissolve
"transparent
transparency","透明な、透明性の高い
透明度、透明性",Protesters are demanding the government be more transparent about spending.,英検,4,,,,transparent
"reclaim
reclamation","奪還する、取り戻す、（土地などを）造成する、開拓する
造成、開拓",He reclaimed the title of top swimmer at the latest competition.,英検,4,,,,reclaim
milestone,道しるべ、画期的な事件、出来事,"The opening of this plant is an important milestone in the history of our company.
We reached an important milestone in the project.","便利, 時間・頻度, 社会・国家, 英検",3,,,,milestone
detour,回り道、迂回路,I had to take a detour because of a traffic accident.,"位置・方向, 英検",4,,,,detour
entail,（必然的に）〜を伴う,Any kind of investment entails some amount of risk.,"数量・論理, 英検",4,,,,entail
"agitate
agitation
agitator","動揺させる、かき乱す、世論に訴える、運動する
動揺、（社会）運動、扇動者",The group has been agitating for new tax laws to be passed.,"人・職業, 会話・伝達, 社会・国家, 英検",3,,,,agitate
stalemate,行き詰まり、膠着状態,The trade talks reached a stalemate and have not progressed since.,英検,4,,,,stalemate
"deceive
deception
deceptive
deceit","騙す、欺く
騙すこと、欺瞞
（人を）迷わすような、（見かけなどが）当てにならない、誤解を招く
詐欺","This mushroom seems to be edible, but looks are deceptive.","社会・国家, 英検",3,,,,deceive
stoke,あおる、かき立てる、（薪などを）くべる,His calm reaction only stoked her anger even further.,"感情・思考, 英検",4,,,,stoke
"glamor
glamorous
glamorize","魅力
魅力的な、魅惑的な
（実物より）魅力的に見せる",Fame and fortune is not always as glamorous as it looks on TV.,"カタカナ・象徴語, 優劣・是非, 英検",3,,,,glamor
standstill,停止、休止、行き詰まり、立ち止まること,Traffic back into the city has come to a complete standstill.,"時間・頻度, 英検",4,,,,standstill
tack,方針、方法,They took a different tack from the one they had originally decided on.,"便利, 英検",4,,,,tack
finalize,最終的に決定する,The marketing team has not yet finalized the name of the new game.,英検,4,,,,finalize
humanitarian,人道的な、博愛主義の,The nonprofit organization does a wide variety of humanitarian work in developing countries.,"性格・態度, 感情・思考, 英検",4,,,,humanitarian
raid,襲撃、踏み込み、手入れ、襲撃する,Most of the city was destroyed in bombing raids.,"社会・国家, 英検",4,,,,raid
"populate
population
populous
populace","居住させる、生息させる
人口
人口の多い
人民、一般大衆、人々","The girl wanted to move to a more populated area.
Tokyo is one of the most populous metropolitan areas in the world.
The general populace of that country is unhappy with their current political leadership.","地理・気候, 生物・動物, 英検",3,,,,populate
"hierarchy
hierarchical","階層制度、ヒエラルキー
階層的な、階級制の",Some cultures organize society in a more hierarchical way than others.,"カタカナ・象徴語, 数量・論理, 英検",3,,,,hierarchy
setback,障害、妨げ,There have been several setbacks for the construction of the new baseball stadium.,"便利, 影響・妨害, 英検",4,,,,setback
"crime
criminal
criminality","犯罪
罪を犯した、犯罪となる
犯罪性、犯罪行為","He did not recognize the criminality of sending the money to his cousin, who was a terrorist.","社会・国家, 英検",3,,,,crime
wary,警戒している、慎重な,You have to be wary of such a good deal.,"性格・態度, 英検",4,,,,wary
"retrieve
retrieval","取り出す、検索する、救出する
検索",He retrieved the wallet he left on the train from the lost and found.,"動作, 英検",4,,,,retrieve
"decent
decency","上品な、礼儀正しい、満足できる、まずまずの
上品さ、礼儀",She has a decent collection of artwork in her basement.,"優劣・是非, 性格・態度, 英検",2,,,,decent
"misinterpret
misinterpretation","誤って解釈（説明）する
誤った解釈、誤解",She misinterpreted his silence as agreement to go to the party.,"会話・伝達, 感情・思考, 英検",,,,,
watershed,分水嶺、転機、分岐点,These movies were a watershed in the history of Hollywood.,"便利, 地理・気候, 時間・頻度, 英検",3,,,,watershed
unearth,掘り出す、見つける、発見する,An unexpected bomb was unearthed at the construction site.,英検,4,,,,unearth
outcry,抗議、憤激,The shooting incident triggered a public outcry.,"会話・伝達, 感情・思考, 英検",4,,,,outcry
"renown
renowned","名声
名声のある、名高い",The magazine commonly pays renowned authors to write book reviews.,"優劣・是非, 英検",4,,,,renown
upscale,高所得者（向け）の、高級な,They went to an upscale restaurant to celebrate their anniversary.,"ビジネス・経済, 英検",4,,,,upscale
"evoke
evocation
evocative","喚起する
喚起
喚起するような",The photographs evoke the comfort of home.,"影響・妨害, 英検",4,,,,evoke
seamless,継ぎ目のない、一体となった,The city is hoping to manage a seamless transition to solar power.,英検,3,,,,seamless
overdue,期限が過ぎて、予定より遅れて、もっと早くすべきな,The librarian scolded her for having so many books overdue.,"時間・頻度, 英検",4,,,,overdue
outstrip,上回る、超える,Demand for masks far outstripped supply during the early days of the pandemic.,"数量・論理, 英検",4,,,,outstrip
"catastrophe
catastrophic","破局、大失敗
破壊的な","The party was a catastrophe; the guest of honor did not show up, the food was awful.","カタカナ・象徴語, 優劣・是非, 英検",3,"nightmare
disaster",,,catastrophe
foe,敵、相手,"His mother taught him to treat everyone with kindness, be they friends or foes.","スポーツ, 人・職業, 英検",4,,,,foe
"fragile
fragility","もろい、脆弱な
もろさ、脆弱性",The fragility of these items must be considered when packing them.,"形・材質, 英検",3,,,,fragile
hefty,高額な、がっしりした、大きくて重い,He paid a hefty sum of money for his new car.,"ビジネス・経済, 形・材質, 英検",4,,,,hefty
liken,なぞらえる,The horror director’s films have been likened to those of Alfred Hitchcock.,英検,4,,,,liken
attic,屋根裏（部屋）,There is a nice view from the spare room we built in the attic.,英検,4,,,,attic
entity,（独立した）存在、実体,Each entity must agree to the terms of the contract.,"カタカナ・象徴語, 英検",3,,,,entity
"incite
incitement","（感情などを）引き起こす、刺激する、扇動する
刺激、扇動",Some people purposely incited violence during the peaceful protest.,"影響・妨害, 感情・思考, 英検",4,,,,incite
"coin
coinage","鋳造する、新語などを作る
新語、新語を作ること",He is good at coining new words.,"会話・伝達, 英検",4,,,,coin
"uproar
uproarious","大騒ぎ、騒動
騒がしい",The town was in an uproar over the decision to let the casino be built.,"感情・思考, 英検",4,,,,uproar
agrarian,農業の,India is one of the largest agrarian countries in the world.,"地理・気候, 英検",4,,,,agrarian
"community
communal","共同体
共同の、共有の、共同体の、自治体の",I grow some vegetables in a communal farm garden.,"カタカナ・象徴語, 社会・国家, 英検",3,,,,community
"demography
demographic","人口統計学、人口動態
人口の、人口統計の、層",This app targets a younger demographic of users than that one.,"人・職業, 教育・学校, 社会・国家, 英検",4,,,,demography
rash,性急な、軽率な、軽はずみな,Let’s try to stay calm and avoid making any rash decisions.,英検,4,,,,rash
curb,抑制する、制限する、抑制、制限,The government raised interest rate to curb inflation.,"影響・妨害, 英検",4,,,,curb
status que,現状（維持）,She argues we need to change the status quo by getting more young people elected.,"便利, 数量・論理, 英検",4,,,,status que
"stagger
staggering","驚かせる、ふらつく
驚くべき、途方もない",She owns a staggering number of purses and accessories.,"感情・思考, 英検",4,,,,stagger
skyrocket,急騰する,Energy prices have skyrocketed over the past few months.,"数量・論理, 英検",4,,,,skyrocket
"confront
confrontation
confrontational","対決する
直面、対抗
対決的な、挑戦的な",The country took a more confrontational stance against the international community.,英検,4,,,,confront
"confidential
confidentiality","機密の、マル秘の
秘密であること、守秘",He was fired for selling confidential company records to competitors.,"ビジネス・経済, 英検",4,,,,confidential
disguise,偽る、偽装する、変装する、偽装、変装,The man disguised his true identity.,"社会・国家, 英検",3,,,,disguise
"inhibit
inhibition","抑制する、阻害する
抑制",Many argue that overly strict business regulations are inhibiting economic growth.,"影響・妨害, 英検",4,,,,inhibit
"forcible
forcibly","力ずくの、強制的な
力ずくで、強制的に",There are signs of forcible entry at the front door.,英検,3,,,,forcible
"reassure
reassuring
reassurance","安心させる、元気づける
安心させるような、元気づけるような
安心、励まし",Her grandparents reassured her that she would pass her exams.,"感情・思考, 英検",4,,,,reassure
upheaval,大変動、激変,The market has experienced great upheaval this year.,"社会・国家, 英検",4,,,,upheaval
selective,選択が慎重な,He is very selective about what news sources he reads.,"性格・態度, 英検",3,,,,selective
downfall,没落、破滅,The downfall of the empire was caused by corruption.,"便利, 社会・国家, 英検",,,,,comp
"captive
captivity
captivate","捕らえられた、捕虜になった、とりこになった
捕らわれの状態
〜の心を捕らえる、魅了する",She thinks it is inhumane to hold animals captive in zoos.,"感情・思考, 生物・動物, 英検",4,,,,captive
foremost,第一級の、主要な,He is one of the country’s foremost experts on environmental policy.,"優劣・是非, 英検",4,,,,foremost
"restore
restration","修復する
修復、回復、復旧",,英検,3,,,,restore
"proportion / disproportion
proportional[proportionate] / disproportional[disproportionate]","割合、比率 / 不釣り合い、不均衡
比例した、釣り合う / 不釣り合いな、不均衡な",The harsh punishment is considered disproportionate to the relatively minor crime.,"数量・論理, 英検",2,,,,proportion
albeit,ではあるが,"His paper was turned in, albeit three days late.","接続, 英検",4,,,,albeit
outnumber,数で上回る,Women outnumber men in the town almost 2 to 1.,"数量・論理, 英検",4,,,,outnumber
"evacuate
evacuation","避難する
避難",ThThe children have been trained how to evacuate the building in case of an emergency.,英検,4,,,,evacuate
"microscope
microscopy
microscopic
microscopically","顕微鏡
顕微鏡検査
微小な、微細な、顕微鏡による
微視的に",Dust mites are microscopic organisms that live in the fibers of carpets and bedding.,"物理・化学, 生物・動物, 英検",4,,,,microscop
"confine
confinement","閉じ込める、監禁する
監禁（状態）",Many say that the confinement of prisoners to solitary cells is inhumane.,"社会・国家, 英検",,,,,
rampant,蔓延した、はびこった,"Due to rampant corruption, bribing government officials is basically a requirement.","医療・健康, 数量・論理, 社会・国家, 英検",3,,,,rampant
casualty,死傷者、被害者、犠牲者,The D-Day invasion resulted in heavy casualties for both the Allied and German forces.,"数量・論理, 社会・国家, 英検",4,,,,casualty
recipient,受け手、受益者,I added her email address to the recipient list.,"人・職業, 英検",4,,,,recipient
overrun,制圧する、侵略する、超過する、超過,The royal family fled while the city was being overrun by enemy troops.,"数量・論理, 社会・国家, 英検",4,,,,overrun
"infect
infection
infectious","感染する
伝染病
伝染性の、うつりやすい",Infectious diseases have spread over the region.,"医療・健康, 英検",3,,,,infect
"revolt
revolting","反乱、暴動、反乱を起こす、不快にさせる
非常に不愉快な",The revolt was mostly led by young adults in their late teens and early twenties.,"優劣・是非, 感情・思考, 社会・国家, 英検",4,,,,revolt
"taxonomy
taxonomic","分類学
分類学の、分類上の",The taxonomic diversity of bees is being challenged by climate change.,"教育・学校, 英検",4,,,,taxonomy
"divert
diversion","進路を変える、転用する、（注意などを）そらす
（進路や用途の）転換","Construction to divert the river started.
The flight was diverted to Osaka because of bad weather.","位置・方向, 英検",3,,,,divert
tremendous,非常に大きい、素晴らしい,Paying for the lawsuit was a tremendous burden for the company.,"優劣・是非, 数量・論理, 英検",3,,,,tremendous
simplistic,単純すぎる,The author’s simplistic explanation of the concept leaves out important details.,英検,4,,,,simplistic
uphold,（法や制度、主義などを）守る,The conservative politician is dedicated to upholding traditional family values.,"感情・思考, 英検",4,,,,uphold
"viable
viability","実行可能な、成功の見込める
実行可能性",The proposed marketing campaign is not viable because it would be too expensive.,英検,3,,,,viable
ravage,破壊する、荒廃させる、荒廃,"The country was ravaged by the disease, which killed millions.","社会・国家, 英検",4,,,,ravage
"overstate
overstatement","大げさに話す、誇張する
誇張",The company has been criticized for overstating the effectiveness of the new drug.,"会話・伝達, 英検",4,,,,overstate
spur,促進する、刺激する、拍車をかける、動機づけるもの、拍車,"Based on this theory, lower taxes should spur economic growth.","影響・妨害, 感情・思考, 英検",4,,,,spur
overthrow,転覆させる,"In 1959, Fidel Castro and his rebels overthrew the Cuban government.","社会・国家, 英検",4,,,,overthrow
"infamous
infamy","悪名高い
悪名、汚名",Al Capone was an infamous crime boss during the Prohibition era in the United States.,"カタカナ・象徴語, 優劣・是非, 英検",3,,,,infamous
surpass,超える、勝る,He had surpassed her ability and no longer needed her as a teacher.,"数量・論理, 英検",3,,,,surpass
socioeconomic,社会経済的な,Access to education is often affected by socioeconomic factors such as income and race.,"ビジネス・経済, 社会・国家, 英検",4,,,,socioeconomic
mortgage,住宅ローン、抵当、担保,"Due to the financial crisis, many homeowners cannot pay their mortgages.","カタカナ・象徴語, ビジネス・経済, 英検",4,,,,mortgage
"displace
displacement","立ち退かせる、追い出す
強制退去",The war has already displaced hundreds of thousands of people.,"位置・方向, 英検",4,,,,displace
specimen,標本、サンプル,The scientist collected a specimen of the strange insect for further study.,"カタカナ・象徴語, 英検",4,,,,specimen
uprising,反乱、暴動,The French Revolution was one of the most significant uprisings in modern times.,"社会・国家, 英検",4,,,,uprising
forefront,最前線,The research institute is at the forefront of dementia research.,"位置・方向, 便利, 英検",3,,,,forefront
quota,分担、ノルマ,That branch did not meet its quota for new customers this year.,"カタカナ・象徴語, ビジネス・経済, 英検",3,,,,quota
"inject
injection","注入する、注射する
注射",She closed her eyes as the doctor injected the needle into her arm.,"医療・健康, 英検",3,,,,inject
assault,襲う、暴行する、暴行,He was assaulted by three men on his way home.,"社会・国家, 英検",3,,,,assault
"delegate
delegation","任せる、委託する、派遣する、代表者
委任、代表派遣",His company will not grow unless he learns to delegate some of his tasks.,"ビジネス・経済, 人・職業, 英検",4,,,,delegate
sway,影響を与える、左右する、揺れる、揺れ動く、影響（力）,The party leader’s powerful speech swayed the voters.,"位置・方向, 動作, 影響・妨害, 英検",4,,,,sway
thrive,育つ、繁栄する、成功する,The plant thrives in bright sunlight and requires little water.,"生物・動物, 社会・国家, 英検",3,,,,thrive
"credible
credibly
credibility","信用できる
確実に
信用、信頼性",The evidence presented at the trial damaged her credibility as a withness.,"ビジネス・経済, 感情・思考, 英検",4,,,,credible
"gene
genetic
genetically","遺伝子
遺伝子の、遺伝学的な
遺伝子的に、遺伝学的に",Genetically engineered crops have become controversial in recent years.,"生物・動物, 英検",3,,,,gene
"contaminate
contamination
contaminant","汚染する
汚染
汚染物質",The factory was contaminating the nearby river with toxic waste.,"地理・気候, 物理・化学, 社会・国家, 英検",3,,,,contaminate
roam,歩き回る、放浪する,They let their pet rabbits roam around freely in their backyard.,"動作, 英検",4,,,,roam
"hypothesis
hypothetical
hypothesize","仮説
仮定の
仮定する",Their hypothesis was supported by the results of the tests that were conducted.,"便利, 英検",3,support,,,hypothesis
"enact
enactment","制定する
制定、立法、法律",The government enacted a new law to protect endangered wildlife.,"社会・国家, 英検",4,,,,enact
livestock,家畜,She decided to become vegetarian after watching a film about commercial livestock production.,"生物・動物, 英検",4,,,,livestock
warfare,戦争、戦闘,The use of drones has become a common aspect of modern warfare.,"社会・国家, 英検",4,,,,warfare
"migrate
migration
mirgratory
migrant","移住する
移住、移動
移住性の、回遊性の
移住者",Tourists visit the Serengeti each year to witness the migration of the wildebeest.,"人・職業, 位置・方向, 社会・国家, 英検",3,,,,migrate
"pharmacy
pharmaceutical","薬局
製薬の、薬剤の",The pharmaceutical company is best known for its popular brand of painkillers.,"医療・健康, 英検",4,,,,pharmacy
envision,想像する,They tried to envision the future of their community.,"感情・思考, 英検",4,,,,envision
"implement
implementation","実行する、履行する、道具、用具
実行",The government cannot implement this new plan without raising taxes.,"社会・国家, 英検",3,,,,implement
"skeptical
skepticism
skeptic","懐疑的な
懐疑的な人
懐疑的態度","While the CEO insisted that the company’s sales would improve, many employees remained skeptical.","人・職業, 感情・思考, 英検",3,,,,skeptical
drawback,（状況・考えなどの）欠点,"There are some drawbacks to being famous, such as a lack of privacy.","便利, 優劣・是非, 英検",4,,,,drawback
outright,完全に、全面的に、ずばりと、公然と、即座に、完全な、あからさまな,The city has banned smoking outright in outdoor public space.,"時間・頻度, 程度・確度, 英検",4,,,,outright
proponent,擁護者、支持者,The doctor was one of the first proponents of the new medical treatment.,"人・職業, 感情・思考, 英検",4,,,,proponent
indigenous,固有の、先住の,The indigenous people welcomed the settlers when they first arrived.,"地理・気候, 英検",4,,,,indigenous
"manipulate
manipulation
manipulative","操作する、巧みに仕向ける
改ざん
巧みに操るような",The large monopoly has the ability to manipulate prices.,英検,3,,,,manipulate
fortress,要塞、城塞,The fortress was built 300 years ago and is now a tourist attraction.,"社会・国家, 英検",4,,,,fortress
"juxtapose
juxtaposition","（比較対照のために）並べる、並置する
並置、併記",The photo juxtaposes the appearance of a forest before and after it has been chopped down.,"位置・方向, 英検",4,,,,juxtapose
partake,参加する,All employees are encouraged to partake in the upcoming charity event.,英検,4,,,,partake
"embroider
embroidery","（話などを）潤色する、脚色する、刺繍する
脚色、刺繍",She always embroiders her stories with exciting details.,"会話・伝達, 英検",4,,,,embroider
"atone
atonement","償いをする
償い、罪滅ぼし",He decided to leave his position as president as atonement for his wrongdoings.,"社会・国家, 英検",4,,,,atone
caveat,警告、忠告,There are a number of caveats written in her contract.,英検,4,,,,caveat
"mirth
mirthful",はしゃぐこと、浮かれ騒ぐこと,The children’s laughter brings much mirth to the small park outside her home.,"感情・思考, 英検",4,,,,mirth
luscious,（味や香りが）とても良い,The tart is toped with a luscious homemade whipped cream.,"優劣・是非, 英検, 食べ物・料理",4,,,,luscious
cleave,（人や思想に）執着する、忠実である,"The two were determined to cleave to their original positions, so the argument was never resolved.","感情・思考, 英検",4,,,,cleave
gripe,不平、愚痴、（だらだらと）文句を言う,My only gripe with this smartphone is the size of the screen.,"会話・伝達, 感情・思考, 英検",4,,,,gripe
"fiend
fiendish","悪魔、残忍な人
悪魔のような、残忍な",The man approached her with a fiendish look on his face.,"性格・態度, 英検",4,,,,fiend
craze,（一時の）熱狂、大流行,Running has become the latest craze to sweep the country.,"感情・思考, 英検",4,,,,craze
squint,目を凝らす、目を細めて見る,"She did not have her glasses, so she needed to squint in order to read the sign.","動作, 英検",4,,,,squint
fathom,理解する、推測する,I could not fathom why she said things like that.,"感情・思考, 英検",4,,,,fathom
intractable,解決困難な、手に負えない、治りにくい,This book discusses the intractable problems with an aging society.,"医療・健康, 英検",4,,,,intractable
"chivalry
chivalrous","（男性の）勇敢さ、（女性への）親切さ、騎士道精神
勇敢な、親切な、騎士道の",She dreamed of meeting a chivalrous man like the ones in the stories she read.,"性格・態度, 英検",4,,,,chivalry
acolyte,部下、助手、取り巻き,The president counseled one of his most faithful acolytes.,"ビジネス・経済, 人・職業, 英検",4,,,,acolyte
"inane
inanity","ばかげた、無意味な
無意味",The actress was fed up with being asked lots of inane questions.,"優劣・是非, 英検",4,,,,inane
"expiate
expiation","償う
償い",I would do anything to expiate my guilt.,"社会・国家, 英検",4,,,,expiate
"dilate
dilation",（体の器官を）広げる、広がる、拡張する,He was looking at the scene with eyes dilated and month open.,"動作, 医療・健康, 英検",4,,,,dilate
purvey,提供する、調達する,"The store purveys a wide range of goods, from clothing to home appliances.","ビジネス・経済, 英検",4,,,,purvey
swill,がぶがぶ飲む、洗い流す,He stuffed himself full of burgers while swilling beer.,"カタカナ・象徴語, 英検, 食べ物・料理",4,,,,swill
torrid,情熱的な、熱烈な、灼熱の、からからに乾いた,His latest novel is based on his torrid love affair.,"地理・気候, 感情・思考, 英検",4,,,,torrid
bicker,ささいなことで口論する,They are always bickering about what to eat for lunch.,"会話・伝達, 英検",4,,,,bicker
"statute
statutory","法規、法令
法定の、法令の",The statutory speed limit on this road is 40 kilometers per hour.,"社会・国家, 英検",4,,,,statute
warden,監視員、管理人,"As a wildlife specialist, he has spent 20 years as a park warden.","人・職業, 英検",4,,,,warden
lure,誘い出す、魅力,The low cost of living is luring many new residents from overseas.,"優劣・是非, 英検",4,,,,lure
"inclement
inclemency","（天候が）荒れ模様の、厳寒の
（天候の）厳しさ",The flight had to be canceled due to the inclement weather.,"地理・気候, 英検",4,,,,inclement
"prophesy
prophecy
prophetic
prophet","予言する
予言
予言的な、予言者の
予言者",His novel later proved to be prophetic.,"人・職業, 時間・頻度, 英検",4,,,,prophesy
"reciprocate
reciprocation
reciprocal","（同じ行為を）相手に返す
返礼、お返し
相互の",I would like to reciprocate your hospitality someday.,英検,4,,,,reciprocate
"ascetic
ascetically
asceticism","禁欲主義の、苦行の
禁欲的に
禁欲主義",He lived a very ascetic life for a long time.,"性格・態度, 感情・思考, 英検",4,,,,ascetic
"attune
attuned","慣れさせる
慣れて、順応して",It took long for me to become attuned to the customs of the country.,英検,4,,,,attune
"haughty
haughtily","高慢な、横柄な
高慢に",The haughty attitude of the wealthy man makes many people dislike him.,"性格・態度, 英検",4,,,,haughty
